phon,cgram,freqfilms2,freqlivres,p_cvcv,syll
opyl@s,NOM,0.54,3.24,VCVCVC,o-py-l@s
aRaS2z,NOM,0,0.07,VCVCVC,a-Ra-S2z
yRineR,ADJ,0.98,0.14,VCVCVC,y-Ri-neR
ad5dOm,NOM,0.01,0.07,VCVCVC,a-d5-dOm
adeR@t,ADJ,0,0.14,VCVCVC,a-de-R@t
ekut2z,NOM,0,0.07,VCVCVC,e-ku-t2z
ytopik,ADJ,0.16,0.2,VCVCVC,y-to-pik
ilaR@t,ADJ,0.09,0.14,VCVCVC,i-la-R@t
@Zol2z,ADJ,0,0.07,VCVCVC,@-Zo-l2z
aleS@t,ADJ,0.29,0.61,VCVCVC,a-le-S@t
@gaZeR,VeR,0.06,2.3,VCVCVC,@-ga-ZeR
el*veR,VeR,0.07,1.76,VCVCVC,e-l*-veR
5k6beR,VeR,0,0.07,VCVCVC,5-k6-beR
amuRet,NOM,0.54,0.47,VCVCVC,a-mu-Ret
el*v2z,NOM,0.04,0,VCVCVC,e-l*-v2z
an6s9R,NOM,0.5,0.07,VCVCVC,a-n6-s9R
aRaS9R,NOM,0,0.27,VCVCVC,a-Ra-S9R
asasin,ADJ,0.27,0.27,VCVCVC,a-sa-sin
@kes9R,NOM,0.67,0.47,VCVCVC,@-ke-s9R
anOdik,ADJ,0.2,0,VCVCVC,a-nO-dik
@fizem,NOM,0.3,0.34,VCVCVC,@-fi-zem
5dolOR,ADJ,0.69,0.47,VCVCVC,5-do-lOR
omolOg,ADJ,0.01,0,VCVCVC,o-mo-lOg
eRitem,NOM,0.16,0,VCVCVC,e-Ri-tem
ematoz,NOM,0,0.07,VCVCVC,e-ma-toz
@tivOl,ADJ,0.14,0.07,VCVCVC,@-ti-vOl
elysid,VeR,0.1,0.2,VCVCVC,e-ly-sid
et5sel,VeR,0.78,0.61,VCVCVC,e-t5-sel
ab6d@t,ADJ,0.33,1.22,VCVCVC,a-b6-d@t
abataZ,NOM,0.02,0.14,VCVCVC,a-ba-taZ
@Zelys,NOM,0.8,1.28,VCVCVC,@-Ze-lys
yRineR,ADJ,0.28,0.2,VCVCVC,y-Ri-neR
2nolOg,NOM,0,0.14,VCVCVC,2-no-lOg
emotif,NOM,0.14,0.14,VCVCVC,e-mo-tif
aS*teR,VeR,0.06,0.95,VCVCVC,a-S*-teR
@baRas,VeR,1.14,1.42,VCVCVC,@-ba-Ras
ekym@t,ADJ,0,0.2,VCVCVC,e-ky-m@t
efasas,VeR,0,0.07,VCVCVC,e-fa-sas
omonim,NOM,0.04,0,VCVCVC,o-mo-nim
apatik,ADJ,0.06,0.14,VCVCVC,a-pa-tik
edikyl,NOM,0,0.07,VCVCVC,e-di-kyl
enymeR,VeR,0.51,0.68,VCVCVC,e-ny-meR
abutim,VeR,0,0.14,VCVCVC,a-bu-tim
evapOR,VeR,0.58,0.27,VCVCVC,e-va-pOR
amaR@t,NOM,0.02,0.27,VCVCVC,a-ma-R@t
ev@Zil,NOM,0.18,1.55,VCVCVC,e-v@-Zil
of@siv,NOM,0.21,0.34,VCVCVC,o-f@-siv
avokat,NOM,7.56,1.55,VCVCVC,a-vo-kat
efaR@t,ADJ,0.22,1.28,VCVCVC,e-fa-R@t
omel@d,NOM,0.14,0,VCVCVC,o-me-l@d
okyR@s,NOM,0.01,0.27,VCVCVC,o-ky-R@s
@pomyR,NOM,0.1,0.14,VCVCVC,@-po-myR
5syleR,ADJ,0.03,0.81,VCVCVC,5-sy-leR
ynanim,ADJ,1.77,4.66,VCVCVC,y-na-nim
abutiR,VeR,0,0.68,VCVCVC,a-bu-tiR
aleZ@s,NOM,1.61,1.35,VCVCVC,a-le-Z@s
adoseR,VeR,0,0.14,VCVCVC,a-do-seR
@tivOl,NOM,0.01,0,VCVCVC,@-ti-vOl
epinet,NOM,0,0.07,VCVCVC,e-pi-net
@meleR,VeR,0,0.14,VCVCVC,@-me-leR
@volam,VeR,0,0.07,VCVCVC,@-vo-lam
ak*dyk,NOM,0.21,0.34,VCVCVC,a-k*-dyk
otonom,NOM,0.26,0.14,VCVCVC,o-to-nom
anodin,ADJ,0.2,2.09,VCVCVC,a-no-din
asaZiR,VeR,0.15,0.41,VCVCVC,a-sa-ZiR
ekat6b,NOM,0,0.41,VCVCVC,e-ka-t6b
om6kyl,NOM,0.02,0.07,VCVCVC,o-m6-kyl
avalam,VeR,0,0.07,VCVCVC,a-va-lam
et5sel,NOM,2.71,7.91,VCVCVC,e-t5-sel
izabel,ADJ,1.85,0.47,VCVCVC,i-za-bel
agonik,NOM,0,0.07,VCVCVC,a-go-nik
amikal,NOM,0.08,1.55,VCVCVC,a-mi-kal
aRog@t,ADJ,1.53,1.01,VCVCVC,a-Ro-g@t
amyzet,NOM,0.03,0.61,VCVCVC,a-my-zet
aZitas,VeR,0,0.07,VCVCVC,a-Zi-tas
5sol@t,ADJ,0.03,0.47,VCVCVC,5-so-l@t
abatiR,VeR,0.03,0.95,VCVCVC,a-ba-tiR
5besil,ADJ,2.79,2.64,VCVCVC,5-be-sil
oRat9R,NOM,0.23,1.76,VCVCVC,o-Ra-t9R
@tuRaZ,NOM,3,10.68,VCVCVC,@-tu-RaZ
aS*tam,VeR,0,0.2,VCVCVC,a-S*-tam
aditif,ADJ,0.02,0,VCVCVC,a-di-tif
anonim,NOM,0.69,1.22,VCVCVC,a-no-nim
agiS9R,ADJ,0.06,0.07,VCVCVC,a-gi-S9R
oRikyl,NOM,0,0.07,VCVCVC,o-Ri-kyl
@Zol2z,NOM,0.02,0.07,VCVCVC,@-Zo-l2z
alym9R,NOM,0.07,0.07,VCVCVC,a-ly-m9R
od*Sos,NOM,0,0.2,VCVCVC,o-d*-Sos
aRivat,VeR,0.01,0.07,VCVCVC,a-Ri-vat
at*lam,VeR,0,0.07,VCVCVC,a-t*-lam
edit9R,NOM,1.37,3.45,VCVCVC,e-di-t9R
amat9R,NOM,5.53,7.16,VCVCVC,a-ma-t9R
av@taZ,VeR,0.58,0.74,VCVCVC,a-v@-taZ
afadis,VeR,0.01,0.07,VCVCVC,a-fa-dis
apaR@t,VeR,0.03,0.41,VCVCVC,a-pa-R@t
ezit@t,ADJ,0.32,5.88,VCVCVC,e-zi-t@t
asupis,VeR,0.02,0.14,VCVCVC,a-su-pis
ases9R,NOM,0.59,0.54,VCVCVC,a-se-s9R
afinaZ,NOM,0,0.07,VCVCVC,a-fi-naZ
aliNeR,VeR,0,0.27,VCVCVC,a-li-NeR
6kolOg,NOM,0.21,0,VCVCVC,6-ko-lOg
otoRiz,VeR,6.57,3.31,VCVCVC,o-to-Riz
eZakyl,VeR,0.44,0.34,VCVCVC,e-Za-kyl
2noteR,NOM,0,0.07,VCVCVC,2-no-teR
avizeR,VeR,0.12,0.14,VCVCVC,a-vi-zeR
azimyt,NOM,0.26,0.07,VCVCVC,a-zi-myt
6dyleR,VeR,0,0.07,VCVCVC,6-dy-leR
ataSeR,VeR,0.1,0.54,VCVCVC,a-ta-SeR
elimin,VeR,0.3,0.14,VCVCVC,e-li-min
afiSaZ,NOM,0.01,0.07,VCVCVC,a-fi-SaZ
as@s9R,NOM,2.48,2.23,VCVCVC,a-s@-s9R
ipofiz,NOM,0.07,0.07,VCVCVC,i-po-fiz
av*niR,NOM,72.47,113.18,VCVCVC,a-v*-niR
em@sip,VeR,0.05,0,VCVCVC,e-m@-sip
@p*R9R,NOM,1.1,2.57,VCVCVC,@-p*-R9R
at@dis,VeR,0,0.07,VCVCVC,a-t@-dis
al@bik,NOM,0.05,0.14,VCVCVC,a-l@-bik
ebetyd,NOM,0.14,4.05,VCVCVC,e-be-tyd
epigon,NOM,0,0.2,VCVCVC,e-pi-gon
ep@d9R,NOM,0.02,0,VCVCVC,e-p@-d9R
@kuRaZ,VeR,0.82,0.34,VCVCVC,@-ku-RaZ
@seN@t,NOM,0.45,0.47,VCVCVC,@-se-N@t
otonal,ADJ,0.1,0.2,VCVCVC,o-to-nal
akolad,NOM,0.84,1.69,VCVCVC,a-ko-lad
abisal,ADJ,0.05,0.2,VCVCVC,a-bi-sal
@t@d9R,NOM,0.28,0.27,VCVCVC,@-t@-d9R
elimam,VeR,0,0.07,VCVCVC,e-li-mam
emotif,NOM,0.01,0,VCVCVC,e-mo-tif
epuzeR,VeR,0.16,0.14,VCVCVC,e-pu-zeR
2Zenik,ADJ,0.01,0.07,VCVCVC,2-Ze-nik
omonim,ADJ,0.03,0.27,VCVCVC,o-mo-nim
eRatik,ADJ,0.04,0.34,VCVCVC,e-Ra-tik
animeR,VeR,0,0.81,VCVCVC,a-ni-meR
@tikOR,NOM,1.35,0.41,VCVCVC,@-ti-kOR
@kodaZ,NOM,0.06,0,VCVCVC,@-ko-daZ
eSalOt,NOM,0.8,0.81,VCVCVC,e-Sa-lOt
@timit,NOM,0.04,0.27,VCVCVC,@-ti-mit
5teROZ,VeR,0.94,0.2,VCVCVC,5-te-ROZ
oRifis,NOM,0.61,0.81,VCVCVC,o-Ri-fis
inytil,NOM,0.23,0.68,VCVCVC,i-ny-til
@tiRys,ADJ,0.11,0,VCVCVC,@-ti-Rys
@Zol2z,ADJ,0.01,0.54,VCVCVC,@-Zo-l2z
imatyR,ADJ,0.56,0.07,VCVCVC,i-ma-tyR
ekimoz,NOM,0.67,0.88,VCVCVC,e-ki-moz
oRifis,NOM,1.23,3.24,VCVCVC,o-Ri-fis
@RaZ@t,ADJ,0.01,0,VCVCVC,@-Ra-Z@t
od*let,NOM,0,0.07,VCVCVC,o-d*-let
5siziv,ADJ,0.05,0.41,VCVCVC,5-si-ziv
@beliR,VeR,1.06,1.55,VCVCVC,@-be-liR
abit@t,NOM,0.09,0.14,VCVCVC,a-bi-t@t
am*neR,VeR,0.61,1.08,VCVCVC,a-m*-neR
al*m@d,ADJ,10.82,25.34,VCVCVC,a-l*-m@d
ab@dOn,VeR,2.44,2.64,VCVCVC,a-b@-dOn
asuvis,VeR,0,0.07,VCVCVC,a-su-vis
5teROZ,VeR,8.37,12.36,VCVCVC,5-te-ROZ
atityd,NOM,1.66,10.41,VCVCVC,a-ti-tyd
@tiSaR,NOM,0.12,0.07,VCVCVC,@-ti-SaR
@peS2z,NOM,0.01,0.07,VCVCVC,@-pe-S2z
analOg,NOM,0.05,0.54,VCVCVC,a-na-lOg
agas@t,ADJ,0.4,1.22,VCVCVC,a-ga-s@t
elyzif,ADJ,0,0.07,VCVCVC,e-ly-zif
@menaZ,VeR,0.2,0.07,VCVCVC,@-me-naZ
@teReR,VeR,0.01,0.14,VCVCVC,@-te-ReR
abaZuR,NOM,0.51,8.24,VCVCVC,a-ba-ZuR
animik,ADJ,0,0.07,VCVCVC,a-ni-mik
yRinal,NOM,0.03,0.2,VCVCVC,y-Ri-nal
@RiSiR,VeR,3,4.19,VCVCVC,@-Ri-SiR
amidal,NOM,0.21,0.07,VCVCVC,a-mi-dal
em*Rod,NOM,0.88,3.58,VCVCVC,e-m*-Rod
5vazif,ADJ,0.11,0,VCVCVC,5-va-zif
amat9R,ADJ,3.56,3.72,VCVCVC,a-ma-t9R
@f6s9R,NOM,0,0.07,VCVCVC,@-f6-s9R
av*lin,NOM,0,0.07,VCVCVC,a-v*-lin
aRidel,NOM,0.01,0.41,VCVCVC,a-Ri-del
eSapeR,VeR,0.05,1.15,VCVCVC,e-Sa-peR
etilik,ADJ,0.26,0.34,VCVCVC,e-ti-lik
ap*niG,NOM,0.39,0.41,VCVCVC,a-p*-niG
emofil,NOM,0.01,0.07,VCVCVC,e-mo-fil
aR@Z9R,NOM,0.04,0.07,VCVCVC,a-R@-Z9R
@patik,ADJ,0.23,0.07,VCVCVC,@-pa-tik
5ses@t,ADJ,0.33,3.31,VCVCVC,5-se-s@t
ol@dez,ADJ,0.28,0.34,VCVCVC,o-l@-dez
am6sel,VeR,0.02,0.34,VCVCVC,a-m6-sel
abat9R,NOM,0.14,0.2,VCVCVC,a-ba-t9R
ipok@p,NOM,0.58,0.27,VCVCVC,i-po-k@p
ematin,NOM,0.05,0,VCVCVC,e-ma-tin
@tet@t,ADJ,0,0.2,VCVCVC,@-te-t@t
ol@dez,ADJ,1.01,2.09,VCVCVC,o-l@-dez
anyleR,ADJ,0.01,0.07,VCVCVC,a-ny-leR
5pybeR,ADJ,0,0.2,VCVCVC,5-py-beR
5vit9R,NOM,0,0.07,VCVCVC,5-vi-t9R
@Zol9R,NOM,0.01,0,VCVCVC,@-Zo-l9R
aReRaZ,NOM,0.2,0.14,VCVCVC,a-Re-RaZ
eton@t,ADJ,0.72,1.89,VCVCVC,e-to-n@t
atomik,ADJ,1.02,2.09,VCVCVC,a-to-mik
et@daZ,NOM,0.02,0.2,VCVCVC,e-t@-daZ
adoR@t,ADJ,0,0.07,VCVCVC,a-do-R@t
av@tyR,VeR,0.78,1.62,VCVCVC,a-v@-tyR
oRipil,VeR,0.21,0.41,VCVCVC,o-Ri-pil
@piRik,ADJ,0.22,0.54,VCVCVC,@-pi-Rik
em*Rod,NOM,1.88,2.84,VCVCVC,e-m*-Rod
al*zan,ADJ,0.02,1.82,VCVCVC,a-l*-zan
5tityl,VeR,1.6,0.81,VCVCVC,5-ti-tyl
afyt9R,NOM,0.01,0.07,VCVCVC,a-fy-t9R
5dol@s,NOM,0.27,2.5,VCVCVC,5-do-l@s
azigOs,ADJ,0.01,0,VCVCVC,a-zi-gOs
asasin,ADJ,0.32,1.01,VCVCVC,a-sa-sin
@taseR,VeR,0,0.34,VCVCVC,@-ta-seR
atipik,ADJ,0.26,0.14,VCVCVC,a-ti-pik
abyzif,ADJ,0.05,0.14,VCVCVC,a-by-zif
@tiZel,NOM,0.05,0,VCVCVC,@-ti-Zel
akeRiR,VeR,2.15,7.43,VCVCVC,a-ke-RiR
otoRut,NOM,0.95,2.23,VCVCVC,o-to-Rut
abalOn,NOM,0.01,0,VCVCVC,a-ba-lOn
aRoz9R,NOM,0.19,0.07,VCVCVC,a-Ro-z9R
otonal,ADJ,0.11,0.47,VCVCVC,o-to-nal
ason@s,NOM,0,0.07,VCVCVC,a-so-n@s
ateReR,VeR,0,0.14,VCVCVC,a-te-ReR
asefal,NOM,0,0.14,VCVCVC,a-se-fal
inedit,ADJ,0.12,0.95,VCVCVC,i-ne-dit
epizOd,NOM,3.69,6.01,VCVCVC,e-pi-zOd
emotiv,ADJ,0.16,0,VCVCVC,e-mo-tiv
eteRik,ADJ,0.01,0,VCVCVC,e-te-Rik
oRemys,NOM,0,0.14,VCVCVC,o-Re-mys
etamin,NOM,0.05,0.61,VCVCVC,e-ta-min
5diZen,ADJ,0.36,1.62,VCVCVC,5-di-Zen
ipotez,NOM,7.47,12.91,VCVCVC,i-po-tez
alymaZ,NOM,1.75,1.35,VCVCVC,a-ly-maZ
5sol@s,NOM,2.69,8.78,VCVCVC,5-so-l@s
ilegal,ADJ,11.93,0.88,VCVCVC,i-le-gal
omoZen,ADJ,0.04,0.34,VCVCVC,o-mo-Zen
emet9R,NOM,3.06,0.34,VCVCVC,e-me-t9R
@Z@b9R,NOM,0,0.14,VCVCVC,@-Z@-b9R
oRiZin,NOM,22.18,34.19,VCVCVC,o-Ri-Zin
evokeR,VeR,0.1,0.61,VCVCVC,e-vo-keR
eRoZen,ADJ,0.1,0.41,VCVCVC,e-Ro-Zen
@tig@g,NOM,0.11,0.14,VCVCVC,@-ti-g@g
aRoz2z,NOM,0.02,0.2,VCVCVC,a-Ro-z2z
inytil,NOM,6.56,2.23,VCVCVC,i-ny-til
alotan,NOM,0.5,0,VCVCVC,a-lo-tan
alet@t,ADJ,0.01,0.07,VCVCVC,a-le-t@t
efilOS,VeR,0,0.34,VCVCVC,e-fi-lOS
alyziv,ADJ,0,0.27,VCVCVC,a-ly-ziv
aReteR,VeR,0.24,10,VCVCVC,a-Re-teR
egaliz,VeR,0.02,0.07,VCVCVC,e-ga-liz
eRoZen,ADJ,0.04,0.2,VCVCVC,e-Ro-Zen
efas9R,NOM,0.1,0,VCVCVC,e-fa-s9R
am@din,NOM,0.02,0.07,VCVCVC,a-m@-din
5komOd,VeR,0.28,0.2,VCVCVC,5-ko-mOd
aN2lin,NOM,0,0.07,VCVCVC,a-N2-lin
odoR@t,ADJ,0.16,3.11,VCVCVC,o-do-R@t
ateRis,VeR,0.4,0.07,VCVCVC,a-te-Ris
elebOR,NOM,0.03,0.07,VCVCVC,e-le-bOR
amiRal,ADJ,0.01,0.14,VCVCVC,a-mi-Ral
amoliR,VeR,0.03,0.54,VCVCVC,a-mo-liR
@pilaZ,NOM,0.04,0.2,VCVCVC,@-pi-laZ
ateRiR,VeR,0.04,0.14,VCVCVC,a-te-RiR
ekut9R,NOM,0.97,0.47,VCVCVC,e-ku-t9R
aZis@t,ADJ,0.11,0.41,VCVCVC,a-Zi-s@t
analiz,NOM,14.87,8.31,VCVCVC,a-na-liz
ateNis,VeR,0,0.07,VCVCVC,a-te-Nis
aRiv@t,NOM,0.03,0.27,VCVCVC,a-Ri-v@t
in6deR,VeR,0,0.07,VCVCVC,i-n6-deR
an6s9R,NOM,0.09,0.2,VCVCVC,a-n6-s9R
abisal,ADJ,0.02,0.2,VCVCVC,a-bi-sal
abutis,VeR,0.47,1.49,VCVCVC,a-bu-tis
akonit,NOM,0.14,0.34,VCVCVC,a-ko-nit
akyleR,VeR,0,0.07,VCVCVC,a-ky-leR
amanit,NOM,0,0.14,VCVCVC,a-ma-nit
5sol@t,ADJ,2.23,3.24,VCVCVC,5-so-l@t
oniRik,ADJ,0.13,0.07,VCVCVC,o-ni-Rik
5pavid,ADJ,0.29,1.28,VCVCVC,5-pa-vid
oRaZ2z,ADJ,0.17,0.74,VCVCVC,o-Ra-Z2z
asupiR,VeR,0.4,3.24,VCVCVC,a-su-piR
etatik,ADJ,0.07,0.07,VCVCVC,e-ta-tik
emotif,ADJ,1.16,0.61,VCVCVC,e-mo-tif
agiSaZ,NOM,0.01,0,VCVCVC,a-gi-SaZ
5des@t,ADJ,0.07,0.47,VCVCVC,5-de-s@t
ab6d@s,NOM,2.76,9.39,VCVCVC,a-b6-d@s
ekaRiR,VeR,0.01,0.14,VCVCVC,e-ka-RiR
oRifeR,ADJ,0.01,0.14,VCVCVC,o-Ri-feR
asyRas,VeR,0,0.07,VCVCVC,a-sy-Ras
amenaZ,VeR,0.02,0.07,VCVCVC,a-me-naZ
@boSaZ,NOM,0,0.07,VCVCVC,@-bo-SaZ
afadiR,VeR,0,0.14,VCVCVC,a-fa-diR
5valid,NOM,0.62,0.54,VCVCVC,5-va-lid
aRog@s,NOM,3.92,3.85,VCVCVC,a-Ro-g@s
ak*dyk,NOM,0.23,0.81,VCVCVC,a-k*-dyk
ev@Zil,NOM,1.17,6.69,VCVCVC,e-v@-Zil
@paket,VeR,0.03,0.2,VCVCVC,@-pa-ket
aRetam,VeR,0.01,1.22,VCVCVC,a-Re-tam
opeRet,NOM,0.54,3.11,VCVCVC,o-pe-Ret
edetik,ADJ,0.02,0,VCVCVC,e-de-tik
5besil,NOM,35.01,20.47,VCVCVC,5-be-sil
aS*t9R,NOM,2.5,2.16,VCVCVC,a-S*-t9R
elag9R,NOM,0.01,0.14,VCVCVC,e-la-g9R
omisid,ADJ,0.22,0.14,VCVCVC,o-mi-sid
@kikin,VeR,0.2,0.34,VCVCVC,@-ki-kin
iRoniz,VeR,0.01,0.34,VCVCVC,i-Ro-niz
@tim6d,ADJ,0,0.07,VCVCVC,@-ti-m6d
@Z@beR,VeR,0,0.34,VCVCVC,@-Z@-beR
@tiSeR,VeR,0,0.2,VCVCVC,@-ti-SeR
epil2z,NOM,0,0.07,VCVCVC,e-pi-l2z
av@pOR,NOM,0,0.07,VCVCVC,a-v@-pOR
@tasam,VeR,0,0.07,VCVCVC,@-ta-sam
inegal,ADJ,0.29,1.69,VCVCVC,i-ne-gal
efemeR,NOM,0.02,1.42,VCVCVC,e-fe-meR
akelem,NOM,0,0.95,VCVCVC,a-ke-lem
5fam@t,ADJ,0.01,0.27,VCVCVC,5-fa-m@t
etalaZ,NOM,1.95,7.64,VCVCVC,e-ta-laZ
5vitam,VeR,0,0.14,VCVCVC,5-vi-tam
eSapam,VeR,0,0.07,VCVCVC,e-Sa-pam
ap*niG,NOM,0.02,0.14,VCVCVC,a-p*-niG
anemOn,NOM,0.05,0.68,VCVCVC,a-ne-mOn
inymen,ADJ,0.45,0.74,VCVCVC,i-ny-men
aditif,ADJ,0.01,0,VCVCVC,a-di-tif
ytiliz,VeR,8,1.49,VCVCVC,y-ti-liz
apaRys,VeR,0,0.14,VCVCVC,a-pa-Rys
@tim6d,NOM,0,0.07,VCVCVC,@-ti-m6d
atakam,VeR,0,0.07,VCVCVC,a-ta-kam
5pyd9R,NOM,0,0.14,VCVCVC,5-py-d9R
5des@t,ADJ,0.6,1.96,VCVCVC,5-de-s@t
amuRaS,VeR,0.02,0.07,VCVCVC,a-mu-RaS
5fidel,NOM,1.25,1.49,VCVCVC,5-fi-del
efaRuS,VeR,0.29,0.61,VCVCVC,e-fa-RuS
aveReR,VeR,0.04,0.14,VCVCVC,a-ve-ReR
otonal,ADJ,0.11,1.08,VCVCVC,o-to-nal
av@bek,NOM,0.01,0,VCVCVC,a-v@-bek
@Z*vin,ADJ,0,0.07,VCVCVC,@-Z*-vin
@Zelik,NOM,0.02,0,VCVCVC,@-Ze-lik
of@siv,NOM,2.91,11.96,VCVCVC,o-f@-siv
asom@t,ADJ,0.26,0.47,VCVCVC,a-so-m@t
ab6das,VeR,0,0.07,VCVCVC,a-b6-das
@g2lad,NOM,0.52,1.42,VCVCVC,@-g2-lad
at*laZ,NOM,0.1,1.55,VCVCVC,a-t*-laZ
abyzeR,VeR,0,0.07,VCVCVC,a-by-zeR
adusis,VeR,0.02,0.34,VCVCVC,a-du-sis
et@dim,VeR,0,0.07,VCVCVC,e-t@-dim
anabaz,NOM,0,0.14,VCVCVC,a-na-baz
esoRaZ,NOM,0.11,0.2,VCVCVC,e-so-RaZ
eR5t9R,NOM,0.01,0,VCVCVC,e-R5-t9R
@tiSaR,ADJ,0.07,0.2,VCVCVC,@-ti-SaR
asimil,VeR,0,0.14,VCVCVC,a-si-mil
anonim,NOM,0.3,0.61,VCVCVC,a-no-nim
@tiZen,NOM,0.17,0.07,VCVCVC,@-ti-Zen
5fek6d,ADJ,0.14,0.2,VCVCVC,5-fe-k6d
@daluz,ADJ,0,0.61,VCVCVC,@-da-luz
av@goS,ADJ,0.1,0,VCVCVC,a-v@-goS
adip2z,ADJ,0.1,0.07,VCVCVC,a-di-p2z
ateRiR,VeR,10.84,3.04,VCVCVC,a-te-RiR
@tonim,NOM,0,0.07,VCVCVC,@-to-nim
ipotop,NOM,0,0.07,VCVCVC,i-po-top
eboSeR,VeR,0,0.27,VCVCVC,e-bo-SeR
ekosez,NOM,0.07,0.54,VCVCVC,e-ko-sez
amaR@t,ADJ,0,0.54,VCVCVC,a-ma-R@t
afaleR,VeR,0,0.14,VCVCVC,a-fa-leR
akomOd,VeR,0.13,0.34,VCVCVC,a-ko-mOd
alym2z,NOM,0.09,0.2,VCVCVC,a-ly-m2z
epinet,NOM,0.01,0.14,VCVCVC,e-pi-net
epat@t,ADJ,1.31,1.28,VCVCVC,e-pa-t@t
avokat,NOM,0.1,0,VCVCVC,a-vo-kat
@byl@s,NOM,1.61,2.43,VCVCVC,@-by-l@s
eS*lOn,VeR,0.01,0.14,VCVCVC,e-S*-lOn
as@d@s,NOM,0.24,1.89,VCVCVC,a-s@-d@s
ebuleR,VeR,0,0.07,VCVCVC,e-bu-leR
atonal,ADJ,0,0.07,VCVCVC,a-to-nal
@tib6b,NOM,0.09,0,VCVCVC,@-ti-b6b
5fam@t,ADJ,0.15,0.74,VCVCVC,5-fa-m@t
adeR@s,NOM,0.06,0.14,VCVCVC,a-de-R@s
akomOd,VeR,0.78,1.96,VCVCVC,a-ko-mOd
@p*zaZ,NOM,0.01,0.07,VCVCVC,@-p*-zaZ
aS*min,VeR,0.01,0.61,VCVCVC,a-S*-min
agiS@t,ADJ,0.03,0.2,VCVCVC,a-gi-S@t
epolaR,NOM,0.03,0,VCVCVC,e-po-laR
av@kuR,NOM,0,0.07,VCVCVC,a-v@-kuR
agoniz,VeR,0.45,1.08,VCVCVC,a-go-niz
oZival,ADJ,0,0.41,VCVCVC,o-Zi-val
omisid,NOM,1.77,0,VCVCVC,o-mi-sid
emeRit,ADJ,0.8,0.14,VCVCVC,e-me-Rit
5sid@t,ADJ,0,0.14,VCVCVC,5-si-d@t
@paReR,VeR,0.16,0.54,VCVCVC,@-pa-ReR
5pytas,VeR,0.01,0,VCVCVC,5-py-tas
ipeRit,NOM,0,0.14,VCVCVC,i-pe-Rit
